job title,company names,location,employment type,links
Strategy Analyst Consultant,Intoude Foundation Too -,"Kuwait City, Kuwait",Full Time,https://wuzzuf.net/jobs/p/g/Dxkkcrg7FsoG-Strategy-Analyst-Consultant-Intoude-Foundation-Too-Kuwait-City-Kuwait
Product Research Analyst,Intoude Foundation Too -,"Kuwait City, Kuwait",Full Time,https://wuzzuf.net/jobs/p/g/1oNIyG7RNPLR-Product-Research-Analyst-Intoude-Foundation-Too-Kuwait-City-Kuwait
Strategy Analyst Consultant,Voli_Agency _LLC -,"Riyadh, Saudi Arabia",Full Time,https://wuzzuf.net/jobs/p/g/T9aQhBSQDUDT-Strategy-Analyst-Consultant-VoliAgency-LLC-Riyadh-Saudi-Arabia
Financial Analyst - MEA,Johnson & Johnson -,"Riyadh, Saudi Arabia",Full Time,https://wuzzuf.net/jobs/p/g/h51XBZxrHDyt-Financial-Analyst---MEA-Johnson-Johnson-Riyadh-Saudi-Arabia
Lead Media Analyst,stc -,"Riyadh, Saudi Arabia",Full Time,https://wuzzuf.net/jobs/p/g/89K86PHC86VS-Lead-Media-Analyst-stc-Riyadh-Saudi-Arabia
Brand Research Analyst,Intoude Foundation Too -,"Kuwait City, Kuwait",Full Time,https://wuzzuf.net/jobs/p/g/mzrIDU9Qt8Ep-Brand-Research-Analyst-Intoude-Foundation-Too-Kuwait-City-Kuwait
Senior Business Analyst (Qatar),Surge Global -,"Doha, Qatar",Freelance / Project,https://wuzzuf.net/jobs/p/g/1UZmeT3UnxkH-Senior-Business-Analyst-Qatar-Surge-Global-Doha-Qatar
Senior Core Analyst,Saybolt Pakistan Limited -,"Dubai, United Arab Emirates",Full Time,https://wuzzuf.net/jobs/p/g/k0LeKtIDUDrE-Senior-Core-Analyst-Saybolt-Pakistan-Limited-Dubai-United-Arab-Emirates
Brand Research Analyst,Voli_Agency _LLC -,"Riyadh, Saudi Arabia",Full Time,https://wuzzuf.net/jobs/p/g/dqqAHbmRRZ0D-Brand-Research-Analyst-VoliAgency-LLC-Riyadh-Saudi-Arabia
Senior Treasury Analyst,QatarEnergy LNG -,"Doha, Qatar",Full Time,https://wuzzuf.net/jobs/p/g/A7Fphgj1m2j3-Senior-Treasury-Analyst-QatarEnergy-LNG-Doha-Qatar
Credit Analyst,JOBWORLD INDIA -,"Dubai, United Arab Emirates",Full Time,https://wuzzuf.net/jobs/p/g/LEU8cNDaW1m8-Credit-Analyst-JOBWORLD-INDIA-Dubai-United-Arab-Emirates
BI & Data Analytics Consultant,Mantrac -,"Alexandria, Egypt",Full Time,https://wuzzuf.net/jobs/p/B2lwaYBkrVx3-BI-Data-Analytics-Consultant-Mantrac-Alexandria-Egypt
Early Career training ship -  Operation Analyst,GE Vernova -,"Riyadh, Saudi Arabia",Full Time,https://wuzzuf.net/jobs/p/g/ymdfYxx8UBh8-Early-Career-training-ship---Operation-Analyst-GE-Vernova-Riyadh-Saudi-Arabia
Application Support Analyst,RLDatix -,"Riyadh, Saudi Arabia",Full Time,https://wuzzuf.net/jobs/p/g/JplOnK1ihS3Z-Application-Support-Analyst-RLDatix-Riyadh-Saudi-Arabia
Investment Banking - MENA Coverage - Analyst / Associate - Dubai,JPMorgan Chase & Co. -,"Dubai, United Arab Emirates",Full Time,https://wuzzuf.net/jobs/p/g/ConGpe1BIts9-Investment-Banking---MENA-Coverage---Analyst-Associate---Dubai-JPMorgan-Chase-Co-Dubai-United-Arab-Emirates
Financial Analyst,Lifera -,"Riyadh, Saudi Arabia",Full Time,https://wuzzuf.net/jobs/p/g/XcpWtnX8G5zE-Financial-Analyst-Lifera-Riyadh-Saudi-Arabia
Data Analytics Engineer,Erada -,"Maadi, Cairo, Egypt",Full Time,https://wuzzuf.net/jobs/p/M0QOPoyJQ6Ia-Data-Analytics-Engineer-Erada-Cairo-Egypt
